	first_seq	num_seqs	last_seq
Romania	2020-04-03	785	2021-06-01
Germany	2020-05-19	3173	2021-07-01
Norway	2020-06-23	287	2021-07-12
United Kingdom	2020-07-03	3757	2021-04-10
Netherlands	2020-07-12	451	2021-04-02
Ireland	2020-07-18	265	2021-03-22
Italy	2020-07-23	1050	2021-06-08
Belgium	2020-07-24	270	2021-04-24
Slovenia	2020-07-31	7892	2021-12-16
Switzerland	2020-08-01	1273	2021-05-26
France	2020-08-09	303	2021-04-02
Denmark	2020-08-10	5412	2021-04-05
Slovakia	2020-08-11	128	2021-04-01
Iceland	2020-08-11	158	2021-04-05
Czech Republic	2020-08-14	575	2021-08-02
New Zealand	2020-08-24	1	2020-08-24
Croatia	2020-08-24	443	2021-06-14
Sweden	2020-08-24	1822	2021-05-05
Austria	2020-08-29	461	2021-04-27
Spain	2020-09-02	222	2021-05-07
Hungary	2020-09-02	9	2021-02-23
Canada	2020-09-06	21	2021-03-01
Australia	2020-09-08	16	2022-07-06
Estonia	2020-09-13	158	2021-04-16
USA	2020-09-19	78	2022-04-01
South Korea	2020-09-20	5	2020-11-03
Cyprus	2020-09-21	359	2021-01-27
Greece	2020-09-25	58	2021-02-24
Finland	2020-09-28	389	2021-04-07
Bulgaria	2020-09-30	49	2021-03-15
Singapore	2020-10-05	3	2021-04-23
Lithuania	2020-10-06	41	2021-03-13
Poland	2020-10-08	301	2021-05-31
Ghana	2020-10-11	1	2020-10-11
Serbia	2020-10-13	11	2021-03-08
Japan	2020-10-17	6	2020-11-21
Luxembourg	2020-10-19	79	2021-03-19
Liechtenstein	2020-10-23	29	2020-12-31
Mauritius	2020-11-06	1	2020-11-06
Lebanon	2020-11-16	3	2020-12-29
Turkey	2020-11-20	3	2021-03-08
Bosnia and Herzegovina	2020-11-20	6	2021-03-03
Hong Kong	2020-11-20	1	2020-11-20
Portugal	2020-12-05	24	2021-04-05
Philippines	2020-12-08	3	2021-02-18
Mexico	2020-12-19	1	2020-12-19
India	2020-12-22	4	2020-12-26
Argentina	2020-12-22	1	2020-12-22
Israel	2020-12-24	63	2021-02-02
United Arab Emirates	2020-12-28	2	2021-01-02
Ukraine	2020-12-29	1	2020-12-29
Kosovo	2021-01-04	3	2021-01-05
North Macedonia	2021-01-09	40	2021-04-26
Montenegro	2021-01-17	8	2021-01-21
Sri Lanka	2021-01-18	2	2021-01-29
Angola	2021-01-23	1	2021-01-23
Latvia	2021-02-01	9	2021-04-12
Thailand	2021-02-12	1	2021-02-12
Georgia	2021-02-17	1	2021-02-17
Papua New Guinea	2021-03-24	1	2021-03-24
Russia	2021-04-10	1	2021-04-10
