	first_seq	num_seqs	last_seq
Netherlands	2020-04-25	40	2020-08-08
China	2020-05-25	1	2020-05-25
Germany	2020-06-05	10	2021-12-23
Egypt	2020-06-07	5	2021-01-09
Denmark	2020-06-08	1597	2021-11-07
South Africa	2020-06-17	13	2021-10-18
Brazil	2020-06-18	1	2020-06-18
Switzerland	2020-07-07	4	2021-10-23
USA	2020-07-17	153	2021-12-21
Russia	2020-08-11	3	2020-08-20
Belarus	2020-10-11	2	2020-10-21
Greece	2020-11-26	6	2020-12-14
India	2021-01-01	10	2021-12-26
Poland	2021-01-27	7	2021-12-04
United Kingdom	2021-03-11	17	2021-12-10
Canada	2021-03-12	8	2021-12-04
Latvia	2021-07-15	2	2021-07-15
Montenegro	2021-08-21	1	2021-08-21
France	2021-08-31	8	2021-11-15
Peru	2021-09-13	1	2021-09-13
Sweden	2021-09-13	5	2021-10-26
South Korea	2021-09-17	1	2021-09-17
Mexico	2021-09-24	2	2021-11-24
Spain	2021-09-24	2	2021-11-06
Italy	2021-09-28	7	2021-11-15
Japan	2021-10-11	6	2021-12-04
Slovenia	2021-10-13	3	2021-12-21
Ireland	2021-10-19	7	2021-12-07
Israel	2021-10-22	5	2021-11-28
Jordan	2021-11-08	2	2021-12-06
Lithuania	2021-11-11	2	2021-11-11
Indonesia	2021-11-23	1	2021-11-23
Turkey	2021-12-30	1	2021-12-30
