	first_seq	num_seqs	last_seq
Spain	2020-01-18	3619	2021-03-24
Belgium	2020-02-14	4512	2021-03-23
USA	2020-05-16	8468	2021-03-29
United Kingdom	2020-09-20	158860	2021-03-23
Serbia	2020-09-28	2	2020-12-13
Switzerland	2020-11-09	3999	2021-03-18
Portugal	2020-11-09	1322	2021-03-15
Denmark	2020-11-09	4854	2021-02-22
United Arab Emirates	2020-11-16	22	2021-01-14
France	2020-11-19	4678	2021-03-20
Netherlands	2020-11-29	4645	2021-03-21
Australia	2020-11-30	179	2021-03-27
Slovakia	2020-11-30	505	2021-03-19
Germany	2020-11-30	14802	2021-03-24
Japan	2020-12-01	80	2021-03-01
Iceland	2020-12-02	19	2021-01-05
Hong Kong	2020-12-06	11	2021-01-03
Singapore	2020-12-08	76	2021-03-21
Norway	2020-12-09	1329	2021-03-22
Albania	2020-12-10	28	2021-03-11
Ghana	2020-12-10	118	2021-02-10
Philippines	2020-12-10	38	2021-01-31
Bulgaria	2020-12-13	698	2021-03-15
Italy	2020-12-14	5548	2021-03-25
South Korea	2020-12-14	103	2021-03-10
Nigeria	2020-12-14	121	2021-02-19
Canada	2020-12-15	145	2021-02-16
Israel	2020-12-16	1433	2021-02-21
Czech Republic	2020-12-16	555	2021-03-15
India	2020-12-17	78	2021-03-03
Ireland	2020-12-17	4388	2021-03-11
Finland	2020-12-18	367	2021-02-02
New Zealand	2020-12-19	69	2021-03-20
Sweden	2020-12-20	2424	2021-03-22
Jordan	2020-12-20	44	2021-01-29
Thailand	2020-12-21	9	2021-02-04
Argentina	2020-12-21	2	2021-03-05
Brazil	2020-12-21	52	2021-02-09
Austria	2020-12-22	374	2021-02-26
Chile	2020-12-22	24	2021-03-11
Poland	2020-12-22	1620	2021-03-25
Oman	2020-12-22	1	2020-12-22
Luxembourg	2020-12-24	615	2021-03-14
Turkey	2020-12-24	471	2021-03-08
Bosnia and Herzegovina	2020-12-25	21	2021-03-15
Pakistan	2020-12-25	3	2021-01-01
Taiwan	2020-12-26	5	2021-01-08
Dominican Republic	2020-12-27	3	2021-03-12
Malaysia	2020-12-28	3	2021-02-08
Cyprus	2020-12-28	10	2021-01-27
Rwanda	2020-12-28	3	2021-01-24
Senegal	2020-12-30	3	2021-01-04
Greece	2020-12-30	3	2020-12-30
Bangladesh	2020-12-31	7	2021-03-14
Peru	2020-12-31	3	2021-01-12
Mexico	2020-12-31	23	2021-03-03
Palestine	2020-12-31	1	2020-12-31
Kuwait	2020-12-31	1	2020-12-31
Sri Lanka	2021-01-02	14	2021-03-02
Lebanon	2021-01-04	1	2021-01-04
Romania	2021-01-04	115	2021-03-16
North Macedonia	2021-01-04	59	2021-02-25
Kosovo	2021-01-05	3	2021-01-06
Ecuador	2021-01-05	10	2021-03-22
Indonesia	2021-01-05	7	2021-02-12
Gambia	2021-01-06	3	2021-01-15
Hungary	2021-01-06	23	2021-02-08
Slovenia	2021-01-07	542	2021-03-23
Iran	2021-01-08	1	2021-01-08
Morocco	2021-01-08	1	2021-01-08
South Africa	2021-01-09	1	2021-01-09
Mauritius	2021-01-10	1	2021-01-10
Latvia	2021-01-12	150	2021-03-10
Kenya	2021-01-14	1	2021-01-14
Angola	2021-01-15	5	2021-02-08
Côte d'Ivoire	2021-01-15	7	2021-02-22
Montenegro	2021-01-17	7	2021-01-21
China	2021-01-17	2	2021-01-17
Aruba	2021-01-20	99	2021-03-10
Croatia	2021-01-20	220	2021-02-27
Estonia	2021-01-21	97	2021-02-26
Curacao	2021-01-23	70	2021-03-08
Russia	2021-01-26	6	2021-03-16
Guadeloupe	2021-01-26	8	2021-03-02
Democratic Republic of the Congo	2021-01-28	2	2021-01-30
Vietnam	2021-01-30	1	2021-01-30
Lithuania	2021-02-02	356	2021-03-22
Cambodia	2021-02-03	7	2021-02-19
Monaco	2021-02-04	1	2021-02-04
Bonaire	2021-02-06	47	2021-03-10
Georgia	2021-02-09	2	2021-02-09
Sint Maarten	2021-02-15	27	2021-02-19
Ukraine	2021-02-18	18	2021-02-22
Tunisia	2021-02-20	1	2021-02-20
Costa Rica	2021-02-22	1	2021-02-22
Belarus	2021-02-23	1	2021-02-23
Libya	2021-02-25	2	2021-02-25
Moldova	2021-03-03	3	2021-03-03
