	first_seq	num_seqs	last_seq
USA	2020-03-13	5929	2021-12-12
Iceland	2020-03-14	5	2021-07-15
Canada	2020-03-16	127	2021-12-09
Australia	2020-03-28	12	2021-12-05
India	2020-04-02	73	2021-12-15
United Arab Emirates	2020-05-18	1	2020-05-18
United Kingdom	2020-06-02	107625	2021-12-18
Italy	2020-07-14	484	2021-12-14
China	2020-07-28	1	2020-07-28
Indonesia	2020-09-01	21	2021-12-14
Hong Kong	2020-09-20	10	2021-11-27
Colombia	2020-09-25	3786	2021-11-17
Latvia	2020-10-02	1	2020-10-02
Denmark	2020-10-19	3469	2021-12-13
France	2020-10-22	727	2021-12-13
Philippines	2020-10-30	7	2021-08-06
Kenya	2020-12-10	4	2021-11-21
Germany	2020-12-17	2231	2021-12-14
Ireland	2020-12-27	282	2021-11-30
Israel	2021-01-02	54	2021-12-08
Czech Republic	2021-01-05	65	2021-12-13
Romania	2021-01-09	89	2021-12-03
Venezuela	2021-01-21	14	2021-08-16
South Africa	2021-01-25	6	2021-11-20
Bulgaria	2021-01-28	143	2021-11-25
Belgium	2021-02-02	360	2021-12-14
Qatar	2021-02-06	1	2021-02-06
Bolivia	2021-02-06	2	2021-06-02
Chile	2021-02-23	972	2021-11-20
Turkey	2021-02-24	37	2021-12-10
Slovenia	2021-02-27	12	2021-12-02
Greece	2021-02-27	14	2021-12-04
Poland	2021-02-27	963	2021-12-15
Spain	2021-03-06	1078	2021-12-17
Netherlands	2021-03-13	393	2021-12-12
Portugal	2021-03-19	149	2021-12-08
Finland	2021-03-21	15	2021-11-11
Mexico	2021-03-22	410	2021-11-16
Estonia	2021-03-23	11	2021-11-29
Maldives	2021-03-24	1	2021-03-24
Curacao	2021-03-26	21	2021-08-04
Sweden	2021-04-02	309	2021-12-13
Liechtenstein	2021-04-08	1	2021-04-08
Brazil	2021-04-12	36	2021-12-02
Norway	2021-04-18	121	2021-12-06
South Korea	2021-04-21	4	2021-11-08
Aruba	2021-04-21	92	2021-11-07
Luxembourg	2021-04-23	46	2021-12-08
Japan	2021-04-28	20	2021-12-11
Argentina	2021-04-30	33	2021-11-15
Switzerland	2021-05-03	254	2021-12-10
Dominican Republic	2021-05-03	126	2021-09-08
Bonaire	2021-05-07	9	2021-09-24
Sint Maarten	2021-05-10	3	2021-08-03
Austria	2021-05-13	15	2021-12-06
Ecuador	2021-05-13	445	2021-11-17
Georgia	2021-05-17	1	2021-05-17
Peru	2021-05-20	221	2021-11-27
Slovakia	2021-05-24	81	2021-12-05
Costa Rica	2021-05-25	44	2021-09-30
Jamaica	2021-05-27	28	2021-07-24
Nepal	2021-06-03	1	2021-06-03
Pakistan	2021-06-06	1	2021-06-06
Guatemala	2021-06-10	1	2021-06-10
Malaysia	2021-07-02	5	2021-11-10
Barbados	2021-07-03	1	2021-07-03
Russia	2021-07-05	12	2021-11-07
Bangladesh	2021-07-08	27	2021-11-29
Thailand	2021-07-19	4	2021-08-23
Lithuania	2021-07-20	52	2021-12-02
Saint Vincent and the Grenadines	2021-08-09	4	2021-10-19
Montenegro	2021-08-22	1	2021-08-22
Moldova	2021-09-01	11	2021-12-09
Croatia	2021-09-04	7	2021-10-30
Singapore	2021-09-06	24	2021-12-14
Bahrain	2021-10-08	9	2021-10-16
Bosnia and Herzegovina	2021-10-16	9	2021-11-22
New Zealand	2021-10-21	3	2021-12-11
Ukraine	2021-10-25	1	2021-10-25
Ghana	2021-11-11	1	2021-11-11
Sierra Leone	2021-11-24	1	2021-11-24
Botswana	2021-11-26	5	2021-12-01
Oman	2021-12-11	1	2021-12-11
