	first_seq	num_seqs	last_seq
China	2019-10-22	53	2021-11-12
Australia	2020-03-08	247	2021-12-29
Spain	2020-03-13	13173	2022-01-17
USA	2020-03-18	109785	2022-01-18
United Kingdom	2020-03-22	224775	2022-01-19
Iceland	2020-03-23	4623	2021-08-30
Canada	2020-03-24	27001	2022-01-13
Greece	2020-03-29	1334	2021-12-30
Turkey	2020-04-03	772	2021-12-31
Japan	2020-04-07	1044	2021-12-25
France	2020-04-08	8953	2022-01-10
Brazil	2020-04-08	604	2021-12-27
Ireland	2020-04-11	2554	2021-12-28
Senegal	2020-04-20	68	2021-09-07
Italy	2020-04-25	10482	2022-01-18
South Africa	2020-05-15	1495	2021-12-08
Mexico	2020-05-15	5870	2022-01-07
Russia	2020-05-18	76	2021-12-18
Germany	2020-06-04	23388	2022-01-14
Argentina	2020-06-10	279	2022-01-07
Netherlands	2020-06-20	13864	2022-01-16
United Arab Emirates	2020-06-28	52	2021-06-20
Hong Kong	2020-07-01	111	2021-12-17
Belgium	2020-07-17	6744	2022-01-13
Switzerland	2020-07-22	9125	2022-01-11
Egypt	2020-07-23	18	2022-01-01
Norway	2020-07-28	4238	2022-01-05
Zambia	2020-08-02	2	2021-02-10
Denmark	2020-08-03	37543	2022-01-19
India	2020-08-10	7991	2021-12-30
Sweden	2020-08-14	14632	2022-01-13
Slovenia	2020-08-21	1584	2022-01-06
Latvia	2020-08-22	1358	2021-10-13
Austria	2020-08-28	578	2021-12-29
Taiwan	2020-09-06	7	2021-08-26
Lithuania	2020-09-07	3358	2022-01-05
Pakistan	2020-09-09	95	2021-10-29
Estonia	2020-09-13	461	2021-12-20
Luxembourg	2020-09-14	1404	2022-01-05
Tunisia	2020-09-15	19	2021-03-04
Cyprus	2020-09-16	49	2021-01-30
Finland	2020-09-20	999	2021-12-20
New Zealand	2020-09-22	81	2021-12-29
Romania	2020-09-23	567	2022-01-14
Czech Republic	2020-09-24	1876	2022-01-10
South Korea	2020-09-29	10753	2022-01-12
Malaysia	2020-10-01	2068	2022-01-10
Serbia	2020-10-02	18	2021-12-01
Peru	2020-10-06	635	2022-01-06
Thailand	2020-10-09	225	2022-01-04
Chile	2020-10-12	203	2021-12-21
Singapore	2020-10-14	319	2022-01-08
Indonesia	2020-10-15	1669	2022-01-16
Jordan	2020-10-16	13	2021-10-25
Cameroon	2020-10-26	2	2020-10-26
Hungary	2020-10-29	2	2021-01-21
Solomon Islands	2020-10-30	4	2020-11-01
Bermuda	2020-10-31	6	2021-12-13
Portugal	2020-11-02	2028	2022-01-10
Qatar	2020-11-07	146	2021-12-14
Mauritius	2020-11-12	12	2021-12-22
Croatia	2020-11-12	922	2022-01-05
Philippines	2020-11-19	1961	2021-08-31
Fiji	2020-11-21	3	2020-12-01
Equatorial Guinea	2020-11-24	2	2021-01-02
Poland	2020-11-25	2522	2022-01-23
Nigeria	2020-11-25	28	2021-12-03
Panama	2020-11-27	1	2020-11-27
Slovakia	2020-11-30	1798	2022-01-11
Israel	2020-12-03	1006	2021-12-31
Colombia	2020-12-07	237	2021-12-19
Bulgaria	2020-12-11	1659	2022-01-03
Kosovo	2020-12-11	59	2021-12-01
Kazakhstan	2020-12-13	3	2021-02-26
Iraq	2020-12-14	5	2021-07-28
North Macedonia	2020-12-17	20	2021-11-08
Morocco	2020-12-17	26	2021-12-14
Kenya	2020-12-19	47	2021-12-06
Zimbabwe	2020-12-19	18	2021-08-18
Jamaica	2020-12-21	33	2021-11-05
Mozambique	2020-12-23	7	2021-09-13
Guatemala	2020-12-23	12	2022-01-01
Vietnam	2020-12-24	1712	2022-01-06
Ukraine	2020-12-30	46	2021-10-25
Suriname	2021-01-03	18	2021-11-03
Lebanon	2021-01-05	4	2021-07-02
Ghana	2021-01-06	61	2021-11-28
Malawi	2021-01-07	103	2021-09-22
Uruguay	2021-01-08	9	2021-04-10
Guinea-Bissau	2021-01-11	1	2021-01-11
Sri Lanka	2021-01-12	730	2022-01-07
Rwanda	2021-01-12	104	2021-10-21
Lesotho	2021-01-15	1	2021-01-15
Dominican Republic	2021-01-15	45	2021-12-10
Guadeloupe	2021-01-19	23	2021-11-16
Curacao	2021-01-20	305	2021-12-14
Angola	2021-01-20	17	2021-08-20
Aruba	2021-01-20	293	2021-12-15
Botswana	2021-01-20	12	2021-11-26
Monaco	2021-01-21	5	2021-10-19
Dominica	2021-01-22	2	2021-01-22
Bangladesh	2021-01-25	57	2021-12-14
Bolivia	2021-01-28	3	2021-07-30
Iran	2021-01-29	7	2021-05-03
Paraguay	2021-01-31	6	2021-09-30
Azerbaijan	2021-02-01	2	2021-02-01
Bonaire	2021-02-13	196	2021-12-27
Liechtenstein	2021-03-07	3	2021-10-06
Bosnia and Herzegovina	2021-03-07	52	2022-01-03
Belize	2021-03-07	66	2021-11-06
Liberia	2021-03-09	54	2021-07-10
Sudan	2021-03-10	1	2021-03-10
Namibia	2021-03-17	20	2021-06-17
Papua New Guinea	2021-03-31	581	2021-11-18
Mali	2021-04-04	1	2021-04-04
Bahrain	2021-04-05	689	2021-11-13
Benin	2021-04-14	19	2021-08-24
Democratic Republic of the Congo	2021-04-15	3	2021-07-26
Nepal	2021-04-19	111	2021-12-15
Oman	2021-04-20	11	2021-07-06
Malta	2021-04-24	42	2021-12-29
South Sudan	2021-04-27	1	2021-04-27
Trinidad and Tobago	2021-04-27	4	2021-11-01
Georgia	2021-05-02	7	2021-12-09
Barbados	2021-05-04	3	2021-07-14
Burkina Faso	2021-05-09	4	2021-09-30
Ecuador	2021-05-11	18	2021-12-13
Afghanistan	2021-05-21	2	2021-05-24
Cambodia	2021-05-23	9	2021-12-14
Kuwait	2021-05-24	117	2021-11-25
Myanmar	2021-05-28	11	2021-12-27
Uganda	2021-06-06	3	2021-11-29
Togo	2021-06-14	2	2021-06-28
Albania	2021-06-16	2	2021-07-09
Gambia	2021-06-24	23	2021-08-24
Eswatini	2021-06-26	8	2021-07-08
Costa Rica	2021-06-27	70	2022-01-04
Maldives	2021-06-28	11	2021-12-19
Niger	2021-07-01	6	2021-07-01
Sint Maarten	2021-07-05	638	2021-12-16
Saudi Arabia	2021-07-05	7	2021-12-14
Sierra Leone	2021-07-06	3	2021-09-08
Cabo Verde	2021-07-06	3	2021-08-28
Andorra	2021-07-08	4	2021-09-11
Timor-Leste	2021-07-10	1	2021-07-10
Montenegro	2021-07-13	6	2021-10-06
Mongolia	2021-07-15	4	2021-08-24
Bahamas	2021-07-17	14	2021-08-08
Antigua and Barbuda	2021-07-18	1	2021-07-18
Brunei	2021-07-21	415	2021-12-26
Uzbekistan	2021-07-23	2	2021-07-23
Burundi	2021-07-28	18	2021-07-28
Ethiopia	2021-08-04	6	2021-08-11
Djibouti	2021-08-06	2	2021-09-16
Grenada	2021-08-10	1	2021-08-10
Saint Barthélemy	2021-08-17	6	2021-11-02
Moldova	2021-09-01	16	2022-01-06
Guyana	2021-09-06	11	2021-09-07
Seychelles	2021-09-16	2	2021-10-04
Gabon	2021-09-20	1	2021-09-20
Côte d'Ivoire	2021-10-12	7	2021-10-25
Saint Martin	2021-11-24	2	2021-12-01
