	first_seq	num_seqs	last_seq
USA	2020-04-21	33016	2021-06-14
Ecuador	2021-01-04	76	2021-06-09
Grenada	2021-01-06	1	2021-01-06
United Kingdom	2021-01-21	18	2021-04-29
Singapore	2021-01-26	6	2021-04-04
Ireland	2021-02-01	9	2021-05-07
Croatia	2021-02-03	4	2021-02-09
Japan	2021-02-08	4	2021-05-07
Dominican Republic	2021-02-09	4	2021-06-10
South Korea	2021-02-11	4	2021-04-14
Sint Maarten	2021-02-16	17	2021-05-27
Israel	2021-02-18	5	2021-04-26
Germany	2021-02-19	31	2021-05-26
Chile	2021-02-19	6	2021-04-24
Costa Rica	2021-02-22	3	2021-05-21
Aruba	2021-02-28	90	2021-06-05
Portugal	2021-03-03	2	2021-03-04
Mexico	2021-03-06	36	2021-06-04
Argentina	2021-03-11	8	2021-04-26
Switzerland	2021-03-15	6	2021-05-17
France	2021-03-16	8	2021-05-25
Ghana	2021-03-18	2	2021-03-20
Denmark	2021-03-22	4	2021-04-26
Colombia	2021-03-24	1	2021-03-24
India	2021-03-24	1	2021-03-24
Spain	2021-03-25	96	2021-06-14
Sweden	2021-03-30	4	2021-05-14
Romania	2021-04-17	2	2021-04-17
Austria	2021-04-18	2	2021-04-22
Netherlands	2021-04-19	2	2021-04-19
Canada	2021-04-19	54	2021-05-23
Lithuania	2021-04-22	7	2021-05-28
Australia	2021-04-22	2	2021-05-21
Italy	2021-04-26	2	2021-05-04
Slovenia	2021-05-13	3	2021-05-18
