	first_seq	num_seqs	last_seq
USA	2020-04-21	30470	2021-05-25
Ecuador	2021-01-04	42	2021-05-13
Grenada	2021-01-06	1	2021-01-06
United Kingdom	2021-01-21	17	2021-04-29
Singapore	2021-01-26	6	2021-04-04
Ireland	2021-02-01	9	2021-05-07
Croatia	2021-02-03	4	2021-02-09
Japan	2021-02-08	4	2021-05-07
South Korea	2021-02-11	4	2021-04-14
Sint Maarten	2021-02-16	8	2021-05-05
Israel	2021-02-18	5	2021-04-26
Chile	2021-02-19	5	2021-04-14
Germany	2021-02-19	26	2021-05-15
Costa Rica	2021-02-22	2	2021-03-15
Aruba	2021-02-28	74	2021-05-11
Portugal	2021-03-03	2	2021-03-04
Mexico	2021-03-06	14	2021-05-15
Dominican Republic	2021-03-08	1	2021-03-08
Argentina	2021-03-11	8	2021-04-26
Switzerland	2021-03-15	6	2021-05-17
France	2021-03-16	7	2021-04-25
Denmark	2021-03-22	4	2021-04-26
Colombia	2021-03-24	1	2021-03-24
Spain	2021-03-25	64	2021-05-22
Sweden	2021-03-30	3	2021-04-23
Austria	2021-04-18	2	2021-04-22
Netherlands	2021-04-19	2	2021-04-19
Australia	2021-04-22	2	2021-05-21
Lithuania	2021-04-22	1	2021-04-22
