	first_seq	num_seqs	last_seq
France	2020-07-09	6061	2022-01-29
Canada	2020-07-15	2925	2022-01-24
Denmark	2020-07-27	5316	2022-01-31
Belgium	2020-08-01	1215	2022-01-28
Luxembourg	2020-08-03	1440	2021-04-06
United Kingdom	2020-08-04	2994	2022-02-02
Germany	2020-08-12	1987	2022-01-21
Switzerland	2020-08-14	5550	2022-01-19
Sweden	2020-08-17	1852	2022-01-14
Iceland	2020-08-17	34	2021-01-11
Slovenia	2020-08-18	814	2021-12-16
Austria	2020-08-19	349	2021-04-27
Netherlands	2020-08-25	1062	2021-04-01
Hungary	2020-08-27	201	2021-02-12
Cyprus	2020-08-27	2	2020-11-02
USA	2020-08-31	192	2022-02-02
Italy	2020-09-01	618	2021-12-25
Spain	2020-09-09	337	2022-01-26
Australia	2020-09-09	20	2021-03-29
Finland	2020-09-10	310	2021-04-01
Japan	2020-09-10	19	2022-01-07
Slovakia	2020-09-10	54	2021-04-13
Tunisia	2020-09-13	21	2021-03-08
Greece	2020-09-14	27	2021-12-25
South Korea	2020-09-15	15	2021-07-23
Kenya	2020-09-17	4	2021-01-10
Norway	2020-09-17	182	2021-07-12
Estonia	2020-09-17	22	2021-02-22
New Zealand	2020-09-27	10	2022-01-24
Serbia	2020-09-29	15	2021-02-21
Ireland	2020-10-01	19	2022-01-13
Czech Republic	2020-10-03	41	2022-01-19
Thailand	2020-10-04	10	2020-11-25
Hong Kong	2020-10-11	12	2020-12-23
Russia	2020-10-14	1	2020-10-14
Senegal	2020-10-15	8	2021-01-16
Mauritius	2020-10-23	5	2021-01-17
Singapore	2020-10-29	6	2021-12-21
Bermuda	2020-10-29	8	2020-11-18
Madagascar	2020-11-03	3	2021-01-11
Romania	2020-11-03	29	2021-02-03
Cambodia	2020-11-07	4	2020-11-09
Portugal	2020-11-08	325	2021-08-12
Croatia	2020-11-12	39	2021-04-23
Bulgaria	2020-11-16	55	2021-06-10
United Arab Emirates	2020-11-17	12	2021-02-03
Cameroon	2020-11-17	1	2020-11-17
Central African Republic	2020-11-24	1	2020-11-24
Cabo Verde	2020-11-25	5	2021-02-02
French Polynesia	2020-12-07	11	2021-01-14
Kosovo	2020-12-11	1	2020-12-11
Taiwan	2020-12-12	1	2020-12-12
Suriname	2020-12-13	5	2021-01-22
Mozambique	2020-12-15	2	2020-12-26
Israel	2020-12-15	24	2021-02-11
Morocco	2020-12-15	1	2020-12-15
Brazil	2020-12-16	3	2021-01-07
Turkey	2020-12-20	16	2021-07-15
Nigeria	2020-12-20	1	2020-12-20
India	2020-12-21	3	2022-01-09
Poland	2020-12-22	54	2022-01-31
North Macedonia	2020-12-24	4	2021-02-13
Philippines	2020-12-26	1	2020-12-26
Barbados	2020-12-30	1	2020-12-30
Guadeloupe	2021-01-11	19	2021-03-12
Bosnia and Herzegovina	2021-01-15	3	2021-02-25
Montenegro	2021-01-18	2	2021-08-21
Djibouti	2021-01-20	1	2021-01-20
Albania	2021-01-21	1	2021-01-21
Angola	2021-01-23	3	2021-02-17
Curacao	2021-01-27	1	2021-01-27
Benin	2021-02-01	1	2021-02-01
Qatar	2021-02-07	2	2021-02-16
Monaco	2021-02-22	2	2021-02-22
Latvia	2021-03-16	4	2021-04-20
Ecuador	2021-04-03	75	2021-09-21
Panama	2021-04-29	1	2021-04-29
Republic of the Congo	2021-05-21	2	2021-05-28
Argentina	2022-01-08	2	2022-01-12
