	first_seq	num_seqs	last_seq
Indonesia	2020-04-23	34	2021-05-14
USA	2020-11-07	3057	2021-05-26
India	2020-11-21	3970	2021-05-16
Switzerland	2020-12-30	100	2021-05-22
Nigeria	2021-01-03	2	2021-01-14
Angola	2021-01-12	5	2021-03-04
France	2021-02-21	89	2021-05-20
United Kingdom	2021-02-22	12264	2021-05-25
Ireland	2021-02-26	184	2021-05-19
Singapore	2021-02-26	293	2021-05-13
Germany	2021-03-01	427	2021-05-26
Denmark	2021-03-08	105	2021-05-17
New Zealand	2021-03-09	12	2021-05-06
Guadeloupe	2021-03-10	2	2021-03-10
Australia	2021-03-16	137	2021-05-28
Finland	2021-03-18	10	2021-05-03
Sint Maarten	2021-03-19	3	2021-04-30
Mexico	2021-03-20	26	2021-05-13
Greece	2021-03-23	10	2021-04-28
Canada	2021-03-24	4	2021-04-19
Belgium	2021-03-25	138	2021-05-26
Uganda	2021-03-26	5	2021-04-26
Sweden	2021-03-26	18	2021-05-12
South Korea	2021-03-26	6	2021-04-11
Italy	2021-03-27	127	2021-05-25
Japan	2021-03-28	171	2021-05-18
Romania	2021-03-28	19	2021-05-18
Portugal	2021-04-05	82	2021-05-24
Bahrain	2021-04-05	23	2021-04-10
Cambodia	2021-04-05	1	2021-04-05
Bulgaria	2021-04-05	1	2021-04-05
Netherlands	2021-04-06	52	2021-05-16
Russia	2021-04-07	6	2021-04-22
Ghana	2021-04-08	5	2021-04-20
Czech Republic	2021-04-09	13	2021-05-09
Malaysia	2021-04-10	8	2021-05-21
Hong Kong	2021-04-12	8	2021-04-22
Luxembourg	2021-04-14	7	2021-04-24
Norway	2021-04-15	37	2021-05-21
Aruba	2021-04-16	3	2021-04-22
Qatar	2021-04-17	5	2021-04-19
Austria	2021-04-17	4	2021-05-05
Israel	2021-04-20	29	2021-05-10
Democratic Republic of the Congo	2021-04-20	5	2021-05-03
Slovenia	2021-04-20	2	2021-05-05
Jordan	2021-04-21	5	2021-04-26
China	2021-04-21	7	2021-04-24
Morocco	2021-04-22	1	2021-04-22
Poland	2021-04-22	52	2021-05-19
Spain	2021-04-22	92	2021-05-21
South Africa	2021-04-23	21	2021-05-06
Curacao	2021-04-23	1	2021-04-23
Argentina	2021-04-24	1	2021-04-24
Iran	2021-04-26	9	2021-04-29
Thailand	2021-04-26	10	2021-05-23
Bangladesh	2021-04-27	25	2021-05-22
Botswana	2021-04-28	2	2021-05-10
Nepal	2021-04-30	2	2021-05-08
Turkey	2021-05-07	1	2021-05-07
Georgia	2021-05-11	4	2021-05-15
Pakistan	2021-05-16	1	2021-05-16
Vietnam	2021-05-19	1	2021-05-19
Brazil	2021-05-22	2	2021-05-22
