	first_seq	num_seqs	last_seq
United Kingdom	2020-12-21	97339	2021-12-13
Brazil	2021-04-12	5	2021-12-02
Slovenia	2021-06-15	9	2021-11-17
Ireland	2021-06-29	246	2021-11-30
Italy	2021-07-01	439	2021-12-11
Germany	2021-07-06	1604	2021-12-11
France	2021-07-13	614	2021-12-12
Sweden	2021-07-16	203	2021-12-10
Lithuania	2021-07-20	63	2021-12-10
Spain	2021-07-21	534	2021-12-08
Slovakia	2021-07-24	57	2021-11-30
Iceland	2021-07-27	2	2021-07-27
Denmark	2021-07-27	2767	2021-12-08
Poland	2021-07-28	656	2021-12-15
Switzerland	2021-07-30	169	2021-12-09
Finland	2021-08-02	5	2021-11-01
Australia	2021-08-14	7	2021-12-05
Belgium	2021-08-15	343	2021-12-13
Estonia	2021-08-16	7	2021-11-17
Canada	2021-08-17	34	2021-12-02
Romania	2021-08-17	104	2021-11-21
Netherlands	2021-08-18	264	2021-12-09
Norway	2021-08-18	85	2021-11-30
Luxembourg	2021-08-23	41	2021-12-08
USA	2021-08-24	119	2021-12-10
Portugal	2021-08-24	106	2021-11-30
Israel	2021-08-27	42	2021-12-08
Bulgaria	2021-08-27	94	2021-11-09
Japan	2021-08-28	3	2021-11-13
Czech Republic	2021-08-30	65	2021-12-06
Greece	2021-09-03	13	2021-12-04
Croatia	2021-09-04	7	2021-10-30
Austria	2021-09-04	10	2021-12-06
Moldova	2021-09-06	8	2021-12-09
Singapore	2021-09-08	17	2021-12-08
Malaysia	2021-10-07	2	2021-10-07
Bahrain	2021-10-08	5	2021-10-16
Russia	2021-10-13	7	2021-11-07
India	2021-10-18	4	2021-11-27
New Zealand	2021-10-21	3	2021-12-11
Ukraine	2021-10-25	1	2021-10-25
Colombia	2021-10-27	1	2021-10-27
Mexico	2021-10-30	1	2021-10-30
Hong Kong	2021-11-01	5	2021-11-27
Aruba	2021-11-07	1	2021-11-07
South Korea	2021-11-08	1	2021-11-08
Bosnia and Herzegovina	2021-11-09	2	2021-11-12
Ghana	2021-11-11	1	2021-11-11
South Africa	2021-11-15	1	2021-11-15
Turkey	2021-11-16	4	2021-11-16
Malta	2021-11-17	2	2021-11-24
Ecuador	2021-11-18	1	2021-11-18
Chile	2021-11-20	1	2021-11-20
