	first_seq	num_seqs	last_seq
United Kingdom	2023-01-01	7285	2023-11-14
USA	2023-01-03	28702	2023-11-14
Aruba	2023-01-09	11	2023-08-16
India	2023-01-24	6719	2023-10-11
Germany	2023-02-01	505	2023-11-06
France	2023-02-05	3012	2023-11-06
Ireland	2023-02-05	599	2023-11-13
Thailand	2023-02-06	1007	2023-10-11
Switzerland	2023-02-08	319	2023-11-04
Brunei	2023-02-11	392	2023-10-20
Singapore	2023-02-17	2165	2023-10-30
Italy	2023-02-19	686	2023-11-13
South Korea	2023-02-22	4896	2023-10-30
Denmark	2023-02-22	575	2023-11-06
Spain	2023-02-23	1825	2023-11-11
Canada	2023-02-25	7111	2023-11-14
Malaysia	2023-02-27	930	2023-10-16
Austria	2023-02-27	575	2023-11-08
Australia	2023-02-28	4278	2023-11-11
Sweden	2023-02-28	1174	2023-11-12
South Africa	2023-03-01	83	2023-10-06
Japan	2023-03-01	8623	2023-11-02
New Zealand	2023-03-02	908	2023-10-26
Argentina	2023-03-03	26	2023-09-12
China	2023-03-03	5656	2023-11-01
Israel	2023-03-05	396	2023-11-08
Barbados	2023-03-06	6	2023-06-28
Vietnam	2023-03-10	273	2023-06-30
Indonesia	2023-03-10	222	2023-07-03
Bulgaria	2023-03-10	97	2023-10-19
Netherlands	2023-03-10	530	2023-11-13
Norway	2023-03-12	118	2023-10-26
Pakistan	2023-03-13	12	2023-08-31
Kuwait	2023-03-15	8	2023-08-10
Russia	2023-03-15	755	2023-10-31
Finland	2023-03-16	251	2023-10-23
Slovenia	2023-03-17	172	2023-10-16
Mauritius	2023-03-17	101	2023-10-21
Chile	2023-03-17	51	2023-10-23
Portugal	2023-03-17	200	2023-11-06
Croatia	2023-03-21	261	2023-10-26
Hong Kong	2023-03-22	116	2023-08-25
Mexico	2023-03-24	332	2023-10-15
Philippines	2023-03-27	41	2023-09-28
Czech Republic	2023-03-28	11	2023-10-19
Taiwan	2023-03-28	234	2023-11-04
Poland	2023-03-29	98	2023-11-10
Belgium	2023-03-30	466	2023-11-11
Greece	2023-03-31	800	2023-10-06
Bahrain	2023-04-01	9	2023-04-09
Myanmar	2023-04-04	39	2023-07-24
Albania	2023-04-05	26	2023-08-21
Luxembourg	2023-04-05	192	2023-09-27
Brazil	2023-04-07	117	2023-10-30
Palau	2023-04-11	2	2023-05-23
Uganda	2023-04-11	14	2023-06-27
Slovakia	2023-04-11	9	2023-09-06
Iceland	2023-04-13	100	2023-10-30
Colombia	2023-04-15	31	2023-09-25
Lithuania	2023-04-17	8	2023-05-27
Costa Rica	2023-04-17	36	2023-10-18
Lebanon	2023-04-18	4	2023-09-13
Guadeloupe	2023-04-19	30	2023-09-12
Romania	2023-04-20	96	2023-10-03
Bangladesh	2023-04-21	56	2023-07-23
Guatemala	2023-04-25	123	2023-09-29
Sri Lanka	2023-04-27	11	2023-05-08
Laos	2023-04-27	174	2023-10-08
Egypt	2023-04-29	4	2023-05-08
Somalia	2023-05-01	1	2023-05-01
Georgia	2023-05-01	48	2023-10-03
Turkey	2023-05-03	55	2023-10-06
Morocco	2023-05-05	5	2023-08-31
Bhutan	2023-05-06	8	2023-08-02
Kenya	2023-05-07	17	2023-08-30
Ukraine	2023-05-07	100	2023-10-17
Antigua and Barbuda	2023-05-11	10	2023-05-25
Peru	2023-05-14	20	2023-09-30
Bolivia	2023-05-16	1	2023-05-16
Botswana	2023-05-16	16	2023-08-10
Ecuador	2023-05-16	16	2023-10-19
Cambodia	2023-05-18	8	2023-06-16
Cook Islands	2023-05-23	2	2023-05-26
Oman	2023-05-25	33	2023-10-16
Namibia	2023-05-26	1	2023-05-26
Bermuda	2023-05-29	12	2023-08-31
Sint Maarten	2023-05-29	6	2023-09-21
Dominican Republic	2023-06-01	14	2023-07-19
Tunisia	2023-06-08	3	2023-08-26
Cabo Verde	2023-06-15	4	2023-07-20
Nigeria	2023-06-20	1	2023-06-20
Panama	2023-06-21	1	2023-06-21
Trinidad and Tobago	2023-06-22	40	2023-09-14
Honduras	2023-06-24	2	2023-07-01
Curacao	2023-06-26	8	2023-10-02
Saint Lucia	2023-07-01	5	2023-07-19
Jamaica	2023-07-05	16	2023-07-19
Saint Vincent and the Grenadines	2023-07-17	8	2023-08-21
Saint Martin	2023-07-18	1	2023-07-18
Jordan	2023-07-19	1	2023-07-19
North Macedonia	2023-07-26	4	2023-10-16
Qatar	2023-08-07	7	2023-11-01
El Salvador	2023-08-08	2	2023-09-14
Palestine	2023-08-15	1	2023-08-15
Marshall Islands	2023-08-17	2	2023-08-17
Montenegro	2023-08-20	6	2023-10-20
Iraq	2023-08-21	4	2023-09-12
Iran	2023-08-23	18	2023-09-23
Venezuela	2023-09-01	1	2023-09-01
Kazakhstan	2023-09-06	11	2023-09-19
Monaco	2023-09-25	1	2023-09-25
